task,representation,model,AUC_mean,AUC_std,PR_AUC_mean,PR_AUC_std,BalAcc_mean,BalAcc_std,MacroF1_mean,MacroF1_std,Recall_0_mean,Recall_0_std,Recall_1_mean,Recall_1_std,Precision_0_mean,Precision_0_std,Precision_1_mean,Precision_1_std
forward_citations_cat,FULL,LR,,,,,0.5855328431238916,1.1702778228589004e-16,0.5688651218244773,0.0,0.7240539942465147,0.0,0.34252702199030943,5.851389114294502e-17,0.7161304442985336,0.0,0.42369755647763946,0.0
forward_citations_cat,FULL,XGB,,,,,0.5982598911836874,0.001299391903854661,0.5784966611805462,0.0018368308194601022,0.8377517149811906,0.0027654593443697186,0.2560939247111443,0.004265761364451788,0.6883667064414579,0.0017123183687657272,0.4944191387872646,0.006631948624119043
forward_citations_cat,HYBRID,LR,,,,,0.5788512628242495,1.1702778228589004e-16,0.5598979148148839,1.1702778228589004e-16,0.7163089179021906,1.1702778228589004e-16,0.3302273574357063,0.0,0.7109598067208435,1.1702778228589004e-16,0.4195075757575758,5.851389114294502e-17
forward_citations_cat,HYBRID,XGB,,,,,0.5912848783255378,0.0028461577817182103,0.5746637314359536,0.002906525087359216,0.8381500331931843,0.0018194117982823174,0.25777115169586284,0.003254967900372788,0.6826845616564634,0.001061061790973012,0.4878089478719814,0.005557243735542644
forward_citations_cat,KG,LR,,,,,0.5772209805365114,0.0,0.5539590877693744,1.1702778228589004e-16,0.7853507413144502,0.0,0.2638837122623928,0.0,0.6934349355216882,1.1702778228589004e-16,0.4550128534704371,5.851389114294502e-17
forward_citations_cat,KG,XGB,,,,,0.5922831794179456,0.0019764441268486925,0.5756096349498282,0.002555393596562516,0.8510511175038726,0.001743827245394631,0.25031680954155794,0.005050282425927488,0.6822749521249032,0.0014426841074331545,0.4941516740568438,0.005183043541538525
forward_citations_cat,KG+META,LR,,,,,0.5876284463736967,0.0,0.5662499807546049,0.0,0.7884487718521795,1.1702778228589004e-16,0.2791651136787179,0.0,0.6995876693500883,0.0,0.4592274678111588,0.0
forward_citations_cat,KG+META,XGB,,,,,0.5989509557066027,0.00159514682635977,0.5796439014847423,0.0016552316742018543,0.8515600796636423,0.0020249152392740055,0.2508386134923593,0.0030735040071693306,0.6869586495006952,0.0013572272778078283,0.50864182425138,0.005551977017415964
forward_citations_cat,META,LR,,,,,0.40265349980004855,0.0,0.3400654958304359,0.0,0.9108209780924984,1.1702778228589004e-16,0.0,0.0,0.5370563674321504,0.0,0.0,0.0
forward_citations_cat,META,XGB,,,,,0.42882879937374135,0.0011847876411579567,0.3707762400173341,0.001672436468132453,0.8433945563177694,0.0032856264233704466,0.022251211330600075,0.002522083029435271,0.5568652148245639,0.0008218575721723458,0.3359040661840009,0.019863331931222833
forward_citations_cat,NETFEAT,LR,,,,,0.41171742677993517,5.851389114294502e-17,0.34981723156735706,0.0,0.8650143837132109,0.0,0.008199776369735371,0.0,0.5461785664384519,0.0,0.3492063492063492,0.0
forward_citations_cat,NETFEAT,XGB,,,,,0.4219759397414526,0.000929493360311397,0.3677899051614325,0.0012721126173989561,0.8414914804160212,0.0037684692622829987,0.02828922847558703,0.0023862305429115656,0.5557147948119285,0.0004687449384116211,0.3275495334947282,0.009491479273379944
forward_citations_cat,TEXT,LR,,,,,0.44942473258274374,1.1702778228589004e-16,0.42957316016205144,0.0,0.6147377738437708,1.1702778228589004e-16,0.2262392843831532,0.0,0.6129744042365403,1.1702778228589004e-16,0.3400560224089636,0.0
forward_citations_cat,TEXT,XGB,,,,,0.4606121546292437,0.0015844280199616783,0.4330013847632158,0.001339495621059129,0.7228811684000884,0.0030485480900370285,0.15475214312336938,0.0034689176320618735,0.6011282613794171,0.0020221726917031835,0.36910906877107497,0.0047794780806240675
is_triadic,FULL,LR,0.7364027945734887,0.0,0.46698569495602305,5.851389114294502e-17,0.6046726619463609,1.1702778228589004e-16,,,0.9083570040364778,0.0,0.30098831985624436,0.0,0.7961215932914046,0.0,0.5222135619641464,1.1702778228589004e-16
is_triadic,FULL,XGB,0.7954931505064504,0.0015085373217547822,0.5675875933177882,0.004125833650362474,0.5951440941041581,0.0026825862717360935,,,0.9686799222604275,0.001408169746443885,0.22160826594788863,0.005382718257190439,0.7890104220124667,0.001141412695025436,0.7019549034762621,0.010187758252982865
is_triadic,HYBRID,LR,0.7266921312256233,0.0,0.45992788066870316,1.1702778228589004e-16,0.6039240579100443,1.1702778228589004e-16,,,0.9082075048587231,1.1702778228589004e-16,0.2996406109613657,0.0,0.7957820277705004,0.0,0.5206869633099142,0.0
is_triadic,HYBRID,XGB,0.7737067481618519,0.001881595456332854,0.5487000129812907,0.0034369648693469215,0.5818179214187726,0.0020017556816957246,,,0.9763492300792345,0.0014231679601099361,0.18728661275831088,0.004347520236502967,0.7830798962313826,0.0008425812409180778,0.7250678600589266,0.01083656189913516
is_triadic,KG,LR,0.683057109088865,0.0,0.42878904946208907,0.0,0.5629314975425317,0.0,,,0.9533562565405889,1.1702778228589004e-16,0.17250673854447438,2.925694557147251e-17,0.7758851441781239,1.1702778228589004e-16,0.5517241379310345,0.0
is_triadic,KG,XGB,0.7485580582676067,0.0014994453163037552,0.5178770308501008,0.0018669323716520659,0.5838654926481462,0.0018747350435052742,,,0.9720436537599044,0.001447733995747659,0.19568733153638815,0.004193941591239361,0.7840923987527884,0.0007980628886306324,0.6997774691016967,0.009720162185932378
is_triadic,KG+META,LR,0.7059576161100206,0.0,0.4497112271320639,5.851389114294502e-17,0.575362092247037,1.1702778228589004e-16,,,0.9512632680520257,1.1702778228589004e-16,0.1994609164420485,2.925694557147251e-17,0.7812154696132597,0.0,0.5766233766233766,0.0
is_triadic,KG+META,XGB,0.7834955493436611,0.0015494202926824754,0.5533728812754535,0.0029855740582884057,0.6008223025640385,0.0030643824874754685,,,0.9652115413365225,0.0014374915826850987,0.23643306379155438,0.006079185070871968,0.7916030604520692,0.0013159586481896637,0.6934301665850524,0.009798925677473674
is_triadic,META,LR,0.6618324569565271,0.0,0.36368617344206366,0.0,0.508171715051075,1.1702778228589004e-16,,,0.9871430707131111,1.1702778228589004e-16,0.029200359389038633,0.0,0.7534230944774076,0.0,0.43046357615894043,5.851389114294502e-17
is_triadic,META,XGB,0.6801116965712035,0.0009973220829480732,0.3841615627483604,0.0026781263056834745,0.5123818395705922,0.0009936173296114879,,,0.9843773359246525,0.0011412749778839713,0.040386343216531895,0.002090544925162175,0.7550513599081776,0.0003820713410996951,0.4628044555948,0.0180099404003971
is_triadic,NETFEAT,LR,0.6237658090679243,0.0,0.33303636420083865,0.0,0.5032989552384955,0.0,,,0.9944685304230827,0.0,0.012129380053908356,0.0,0.7515534967800248,0.0,0.421875,0.0
is_triadic,NETFEAT,XGB,0.631573071181891,0.0005544865986681864,0.3423407474857637,0.0009056023142744535,0.5085005763038832,0.0009572952076666304,,,0.9878457168485573,0.0009217095480963555,0.02915543575920934,0.0024094593876391565,0.753546941455668,0.00036729191559115075,0.44385274115343953,0.015926658912268958
is_triadic,TEXT,LR,0.6934216130679205,0.0,0.4052943388461685,0.0,0.5684288496071852,0.0,,,0.9149349678576769,1.1702778228589004e-16,0.22192273135669366,2.925694557147251e-17,0.7794192562404483,0.0,0.464722483537159,0.0
is_triadic,TEXT,XGB,0.726084043655909,0.0018138031837961577,0.4781998615572688,0.0024758130879673204,0.536801576578301,0.0018712701477388025,,,0.98892211092839,0.000757232971494708,0.08468104222821204,0.004069385517131234,0.7645170333219922,0.0007402174322753926,0.7178903929878812,0.0120589056860911
renewed_4y,FULL,LR,0.5960566888892956,0.0,0.9124508555531516,0.0,0.5127479675082116,0.0,,,0.03270564915758177,7.314236392868128e-18,0.9927902858588414,0.0,0.36666666666666664,0.0,0.8894050991501418,1.1702778228589004e-16
renewed_4y,FULL,XGB,0.6467779925020879,0.003749303926706612,0.9261467827801602,0.0010783364252714242,0.5024524034511557,0.00047665010073054333,,,0.004955401387512388,0.0009343994465629964,0.9999494055147988,8.8439906245899e-05,0.9341666666666667,0.11709247690670888,0.8873125690744154,9.579515127803314e-05
renewed_4y,HYBRID,LR,0.5779880894865512,0.0,0.9049099743784625,0.0,0.510207023707954,0.0,,,0.027750247770069375,0.0,0.9926637996458385,1.1702778228589004e-16,0.32558139534883723,0.0,0.888888888888889,1.1702778228589004e-16
renewed_4y,HYBRID,XGB,0.6172362348777521,0.005945585145562133,0.9164830023363069,0.0020818802813519126,0.5020000930156294,0.0003539027262279212,,,0.004063429137760159,0.0007312832382285647,0.9999367568934986,8.943925894087308e-05,0.9123809523809523,0.12236026012455001,0.8872216798504754,7.113018231009217e-05
renewed_4y,KG,LR,0.5792946958276097,0.0,0.9050129417070487,2.340555645717801e-16,0.5003690539257485,0.0,,,0.0009910802775024777,0.0,0.9997470275739945,0.0,0.33333333333333337,5.851389114294502e-17,0.8868940754039498,1.1702778228589004e-16
renewed_4y,KG,XGB,0.6100235246806066,0.004452662413536281,0.9168373466328317,0.001441490289033467,0.5010279856700774,0.00042825492269112764,,,0.0020812685827552033,0.0008677849710316284,0.9999747027573994,5.333127009308175e-05,0.9416666666666667,0.12453617650811054,0.8870263863471033,8.601868787743033e-05
renewed_4y,KG+META,LR,0.6095729128458596,0.0,0.9164317910059504,1.1702778228589004e-16,0.5008013509579982,1.1702778228589004e-16,,,0.0019821605550049554,0.0,0.9996205413609915,1.1702778228589004e-16,0.4,0.0,0.8869809203142538,1.1702778228589004e-16
renewed_4y,KG+META,XGB,0.6451195250837579,0.0031722205385481556,0.9274251800983102,0.001114077934324644,0.502952186957905,0.0006021840360596338,,,0.006144697720515362,0.00112516593101595,0.9997596761952948,0.0001514316974117962,0.7706746031746031,0.11602247644991974,0.8874131346271916,0.00012103365690490824
renewed_4y,META,LR,0.566276331132632,0.0,0.9121148216482171,0.0,0.5,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.8868199663488504,1.1702778228589004e-16
renewed_4y,META,XGB,0.5897345281287035,0.001452960298154892,0.9180392488878113,0.000547960505519604,0.5027161065211979,0.00036873416621766724,,,0.006342913776015857,0.0006929691761943518,0.9990892992663799,0.00011623280843316254,0.4713553113553114,0.04597967018339764,0.8873660343969713,7.415663461531966e-05
renewed_4y,NETFEAT,LR,0.5679746811958248,1.1702778228589004e-16,0.9081770617074826,1.1702778228589004e-16,0.5,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.8868199663488504,1.1702778228589004e-16
renewed_4y,NETFEAT,XGB,0.5828544365571983,0.0016162896931737566,0.9142572921929146,0.0005009576244682703,0.5000495540138752,0.0001567035510489639,,,9.910802775024777e-05,0.00031340710209795637,1.0,0.0,0.1,0.31622776601683794,0.8868299149686208,3.146029804999014e-05
renewed_4y,TEXT,LR,0.5570872769912679,1.1702778228589004e-16,0.9007504095953791,2.340555645717801e-16,0.5059577012052168,0.0,,,0.01684836471754212,0.0,0.9950670376928915,0.0,0.3035714285714285,5.851389114294502e-17,0.8880234789479624,1.1702778228589004e-16
renewed_4y,TEXT,XGB,0.5877803098699109,0.0050550275801200415,0.9083768021657649,0.0016994603670474207,0.5026695924386065,0.0007107879708366295,,,0.005351833498513379,0.0014170869236555807,0.9999873513786998,3.999845256981131e-05,0.9833333333333334,0.05270462766947298,0.8873562128780629,0.00014285410653336696
